,stormNumber,initial_phase,main_phase,minimumSymH,end_recovery_phase,min_SYM_H,ifCME,ifHSS,ifcomplex,Unnamed: 9,new_begining_times,new_ending_times
57,21,1997-12-10 03:24:00,1997-12-10 10:49:00,1997-12-11 10:51:00,1997-12-14 11:30:00,-61,ICME,,,,1997-12-10 03:24:00,1997-12-14 10:51:00
58,22,1997-12-30 01:09:00,1997-12-30 03:49:00,1997-12-30 18:52:00,1997-12-31 23:59:00,-71,ICME,,,,1997-12-30 01:09:00,1997-12-31 23:59:00
59,0,1998-01-06 13:38:00,1998-01-06 16:19:00,1998-01-07 03:09:00,1998-01-08 08:36:00,-84,ICME,,,,1998-01-06 13:38:00,1998-01-08 08:36:00
60,1,1998-01-29 18:46:00,1998-01-29 22:10:00,1998-01-30 12:22:00,1998-01-31 16:46:00,-60,ICME,,,,1998-01-29 18:46:00,1998-01-31 16:46:00
61,2,1998-02-17 04:33:00,1998-02-17 13:34:00,1998-02-18 00:47:00,1998-02-21 18:09:00,-120,ICME,,,,1998-02-17 04:33:00,1998-02-21 00:47:00
62,3,1998-03-09 17:34:00,1998-03-10 11:10:00,1998-03-10 20:43:00,1998-03-19 21:54:00,-121,,HSS,,,1998-03-09 22:10:00,1998-03-13 20:43:00
63,4,1998-03-20 22:40:00,1998-03-21 09:47:00,1998-03-21 15:05:00,1998-03-24 04:51:00,-90,ICME,HSS,complex,,1998-03-20 22:40:00,1998-03-24 04:51:00
64,5,1998-03-28 06:01:00,1998-03-28 09:29:00,1998-03-29 20:04:00,1998-03-31 02:52:00,-58,,HSS,,,1998-03-28 06:01:00,1998-03-31 02:52:00
65,6,1998-04-23 17:06:00,1998-04-24 01:00:00,1998-04-24 07:30:00,1998-04-30 02:06:00,-71,ICME,,,,1998-04-23 17:06:00,1998-04-27 07:30:00
66,7,1998-05-03 21:46:00,1998-05-04 03:07:00,1998-05-04 05:18:00,1998-05-07 20:13:00,-272,ICME,,,,1998-05-03 21:46:00,1998-05-07 05:18:00
67,8,1998-05-08 00:24:00,1998-05-09 10:03:00,1998-05-09 19:49:00,1998-05-15 00:00:00,-63,,HSS,,,1998-05-08 21:03:00,1998-05-12 19:49:00
68,9,1998-06-05 16:04:00,1998-06-06 13:14:00,1998-06-07 06:14:00,1998-06-10 13:47:00,-55,,HSS,,,1998-06-06 00:14:00,1998-06-10 06:14:00
69,10,1998-06-13 18:25:00,1998-06-14 00:22:00,1998-06-14 09:52:00,1998-06-15 09:15:00,-51,ICME,,,,1998-06-13 18:25:00,1998-06-15 09:15:00
70,11,1998-06-25 15:59:00,1998-06-26 00:30:00,1998-06-26 04:50:00,1998-06-26 14:50:00,-120,ICME,,,,1998-06-25 15:59:00,1998-06-26 14:50:00
71,12,1998-07-15 09:53:00,1998-07-16 03:23:00,1998-07-16 17:29:00,1998-07-20 19:14:00,-76,,HSS,,,1998-07-15 14:23:00,1998-07-19 17:29:00
72,13,1998-07-22 13:08:00,1998-07-22 21:49:00,1998-07-23 06:15:00,1998-07-28 13:52:00,-62,,HSS,,,1998-07-22 13:08:00,1998-07-26 06:15:00
73,14,1998-07-30 20:12:00,1998-07-30 23:54:00,1998-07-31 08:47:00,1998-07-31 14:12:00,-68,ICME,HSS,complex,,1998-07-30 20:12:00,1998-07-31 14:12:00
74,15,1998-08-05 23:53:00,1998-08-06 07:43:00,1998-08-06 12:14:00,1998-08-09 12:32:00,-169,ICME,,,,1998-08-05 23:53:00,1998-08-09 12:14:00
75,16,1998-08-20 02:09:00,1998-08-20 07:52:00,1998-08-20 19:54:00,1998-08-22 01:55:00,-69,ICME,,,,1998-08-20 02:09:00,1998-08-22 01:55:00
76,17,1998-08-26 05:54:00,1998-08-26 11:16:00,1998-08-27 08:59:00,1998-09-04 17:15:00,-174,ICME,,,,1998-08-26 05:54:00,1998-08-30 08:59:00
77,19,1998-09-18 05:26:00,1998-09-18 10:27:00,1998-09-18 13:12:00,1998-09-19 08:27:00,-61,ICME,,,,1998-09-18 05:26:00,1998-09-19 08:27:00
78,20,1998-09-24 21:39:00,1998-09-25 00:38:00,1998-09-25 06:53:00,1998-09-30 05:27:00,-217,ICME,,,,1998-09-24 21:39:00,1998-09-28 06:53:00
79,21,1998-09-30 02:55:00,1998-09-30 17:57:00,1998-10-01 06:35:00,1998-10-02 07:26:00,-50,,HSS,,,1998-09-30 04:57:00,1998-10-02 07:26:00
80,22,1998-10-06 12:27:00,1998-10-07 00:17:00,1998-10-07 18:16:00,1998-10-13 22:19:00,-70,,HSS,,,1998-10-06 12:27:00,1998-10-10 18:16:00
81,23,1998-10-18 6:24:00,1998-10-19 03:08:00,1998-10-19 04:54:00,1998-10-27 05:49:00,-122,ICME,,,,1998-10-18 14:08:00,1998-10-22 04:54:00
82,24,1998-11-07 07:00:00,1998-11-07 11:15:00,1998-11-08 06:20:00,1998-11-08 19:22:00,-180,ICME,,complex,,1998-11-07 07:00:00,1998-11-08 19:22:00
83,25,1998-11-12 15:04:00,1998-11-13 01:55:00,1998-11-13 20:42:00,1998-11-17 00:53:00,-124,ICME,,,,1998-11-12 15:04:00,1998-11-16 20:42:00
84,26,1998-12-10 01:56:00,1998-12-10 13:05:00,1998-12-11 08:45:00,1998-12-13 06:47:00,-80,,HSS,,,1998-12-10 01:56:00,1998-12-13 06:47:00
